date,author,number
1999-12-20 09:58:52,administrator,2325
1999-12-20 10:08:33,administrator,2327
1999-12-20 10:10:16,administrator,2329
1999-12-20 10:11:00,administrator,2330
1999-12-20 10:16:35,administrator,2332
1999-12-20 10:21:05,administrator,2333
1999-12-20 10:22:29,administrator,2337
1999-12-20 10:23:24,administrator,2338
1999-12-20 10:40:12,administrator,2339
1999-12-20 10:45:48,administrator,2340
1999-12-20 13:13:08,administrator,2341
1999-12-21 13:23:51,administrator,2342
1999-12-21 15:00:46,administrator,2343
1999-12-23 13:13:08,administrator,2345
2000-01-08 12:57:55,administrator,2346
2000-01-08 13:27:13,administrator,2348
2000-01-11 09:30:05,administrator,2350
2000-01-11 09:39:53,administrator,2351
2000-01-13 09:00:14,administrator,2354
2000-01-13 09:50:46,administrator,2355
2000-01-13 18:17:43,administrator,2356
2000-01-14 21:29:05,administrator,2358
2000-01-14 22:05:31,administrator,2359
2000-01-14 22:31:39,administrator,2360
2000-01-20 03:48:03,administrator,2362
2000-01-20 09:35:05,administrator,2361
2000-01-25 09:54:09,administrator,2363
2000-01-27 17:46:29,administrator,2364
2000-01-27 17:51:05,administrator,2365
2000-02-08 09:11:40,administrator,2366
2000-02-11 22:15:10,administrator,2367
2000-02-14 21:00:14,administrator,2369
2000-02-17 14:14:16,administrator,2371
2000-02-18 19:21:33,administrator,2373
2000-02-22 17:25:36,administrator,2374
2000-02-23 17:34:17,administrator,2376
2000-02-25 14:22:22,administrator,2377
2000-02-28 16:56:43,administrator,2378
2000-02-29 10:01:04,administrator,2380
2000-03-03 13:09:45,administrator,2381
2000-03-03 15:39:46,administrator,2382
2000-03-03 15:43:35,administrator,2383
2000-03-03 19:12:58,administrator,2385
2000-03-05 17:52:16,administrator,2386
2000-03-06 16:30:07,administrator,2387
2000-03-07 12:40:36,administrator,2388
2000-03-08 15:09:39,administrator,2389
2000-03-11 15:44:16,administrator,2390
2000-03-11 22:48:48,administrator,2391
2000-03-13 13:27:16,administrator,2392
2000-03-14 12:40:02,administrator,2393
2000-03-15 21:22:18,administrator,2394
2000-03-15 21:35:47,administrator,2396
2000-03-16 14:22:20,administrator,2397
2000-03-17 16:48:30,administrator,2399
2000-03-18 19:39:30,administrator,2400
2000-03-18 19:39:51,administrator,2401
2000-03-18 23:30:05,administrator,2402
2000-03-18 23:36:59,administrator,2404
2000-03-20 14:25:42,administrator,2405
2000-03-20 15:50:33,administrator,2406
2000-03-21 17:46:01,administrator,2407
2000-03-21 23:23:08,administrator,2408
2000-03-29 21:24:37,administrator,2409
2000-03-30 18:51:49,administrator,2410
2000-04-02 15:37:40,administrator,2411
2000-04-03 01:52:50,administrator,2412
2000-04-06 09:55:03,administrator,2414
2000-04-10 10:02:36,administrator,2416
2000-04-12 14:05:31,administrator,2417
2000-04-15 12:08:01,administrator,2418
2000-04-17 17:45:58,administrator,2419
2000-04-20 18:39:14,administrator,2420
2000-04-24 14:48:47,administrator,2421
2000-04-24 14:49:02,administrator,2423
2000-04-25 12:42:14,administrator,2425
2000-04-25 17:34:34,administrator,2426
2000-04-25 18:52:57,administrator,2424
2000-04-26 08:00:53,administrator,2427
2000-04-26 08:02:55,administrator,2428
2000-04-27 08:27:35,administrator,2429
2000-04-27 13:09:38,administrator,2431
2000-04-28 10:01:39,administrator,2432
2000-04-28 14:08:15,administrator,2443
2000-04-28 18:39:41,administrator,2433
2000-04-30 13:31:14,administrator,2434
2000-04-30 20:52:02,administrator,2435
2000-05-01 09:23:25,administrator,2436
2000-05-01 10:07:34,administrator,2437
2000-05-01 17:10:43,administrator,2438
2000-05-04 16:33:47,administrator,2439
2000-05-05 14:07:05,administrator,2440
2000-05-06 06:41:46,administrator,2441
2000-05-08 15:02:25,administrator,2442
2000-05-09 15:13:12,administrator,2444
2000-05-11 00:20:54,administrator,2445
2000-05-11 16:35:44,administrator,2447
2000-05-11 23:32:25,administrator,2448
2000-05-14 21:25:05,administrator,2451
2000-05-15 14:08:30,administrator,2452
2000-05-15 15:06:22,administrator,2453
2000-05-15 17:36:05,administrator,2454
2000-05-16 08:25:50,administrator,2456
2000-05-18 13:24:10,administrator,2457
2000-05-18 13:58:07,administrator,2459
2000-05-18 15:19:38,administrator,2460
2000-05-18 15:47:56,administrator,2461
2000-05-18 18:26:18,administrator,2462
2000-05-20 21:13:06,administrator,2463
2000-05-22 11:03:05,administrator,2464
2000-05-22 11:06:30,administrator,2465
2000-05-22 11:20:03,administrator,2466
2000-05-22 15:36:08,administrator,2467
2000-05-23 09:54:26,administrator,2468
2000-05-23 10:42:32,administrator,2471
2000-05-26 18:53:15,administrator,2469
2000-06-06 07:33:38,administrator,2472
2000-06-06 13:29:23,administrator,2474
2000-06-08 10:12:47,administrator,2477
2000-06-08 10:13:10,administrator,2478
2000-06-09 16:55:53,administrator,2479
2000-06-10 19:46:19,administrator,2481
2000-06-10 19:48:03,administrator,2483
2000-06-12 06:44:38,administrator,2484
2000-06-14 13:34:04,administrator,2489
2000-06-14 14:53:57,administrator,2492
2000-06-14 21:28:48,administrator,2493
2000-06-16 21:31:13,administrator,2495
2000-06-19 14:09:45,administrator,2499
2000-06-19 16:01:33,administrator,2502
2000-06-19 16:33:32,administrator,2504
2000-06-19 18:06:52,administrator,2506
2000-06-23 09:55:50,administrator,2507
2000-06-24 19:50:31,administrator,2508
2000-06-27 07:12:56,administrator,2509
2000-06-27 19:20:16,administrator,2510
2000-06-29 23:11:33,administrator,2511
2000-07-02 17:12:28,administrator,2513
2000-07-03 09:46:47,administrator,2516
2000-07-03 20:18:13,administrator,2517
2000-07-05 14:11:56,administrator,2519
2000-07-06 16:40:32,administrator,2520
2000-07-08 13:50:57,administrator,2521
2000-07-10 11:12:40,administrator,2523
2000-07-11 15:40:20,administrator,2524
2000-07-11 15:45:30,administrator,2527
2000-07-12 08:59:30,administrator,2528
2000-07-14 13:03:18,administrator,2530
2000-07-21 08:55:54,administrator,2531
2000-07-21 22:08:48,administrator,2532
2000-07-22 22:10:28,administrator,2534
2000-07-24 18:56:28,administrator,2535
2000-07-25 14:29:10,administrator,2536
2000-07-25 22:07:00,administrator,2537
2000-07-26 20:53:21,administrator,2538
2000-07-27 17:35:04,administrator,2539
2000-07-29 20:50:02,administrator,2540
2000-07-31 11:19:01,administrator,2541
2000-07-31 11:42:34,administrator,2542
2000-07-31 11:57:02,administrator,2543
2000-08-04 09:42:08,administrator,2545
2000-08-07 10:54:21,administrator,2548
2000-08-08 11:48:43,administrator,2546
2000-08-14 17:40:46,administrator,2551
